C,C_eff,padded,pad_added,divisible_256,B,T,dtype,device,avg_ms,est_TFLOPS,error
4960,5120,1,160,0,4,1,bfloat16,cuda,0.594856999317805,2.8203780100495544,
4968,4968,0,0,0,4,1,bfloat16,cuda,0.5864061673482259,2.6936714242672584,
4968,5120,1,152,0,4,1,bfloat16,cuda,0.5910695314407348,2.8384504880678687,
4976,4976,0,0,0,4,1,bfloat16,cuda,0.5823174019654592,2.7213283660274277,
4976,5120,1,144,0,4,1,bfloat16,cuda,0.5942572693030039,2.8232243620137387,
4984,4984,0,0,0,4,1,bfloat16,cuda,0.5933535993099213,2.6793068852180766,
4984,5120,1,136,0,4,1,bfloat16,cuda,0.5900468329588572,2.8433702314558214,
4992,4992,0,0,0,4,1,bfloat16,cuda,0.5871628006299336,2.7162553456876686,
4992,5120,1,128,0,4,1,bfloat16,cuda,0.5890118658542634,2.848366386586703,
5000,5000,0,0,0,4,1,bfloat16,cuda,0.5954003036022186,2.6872676925421,
5000,5120,1,120,0,4,1,bfloat16,cuda,0.5885995368162791,2.850361740131085,
5008,5008,0,0,0,4,1,bfloat16,cuda,0.5894694725672404,2.722997832287074,
5008,5120,1,112,0,4,1,bfloat16,cuda,0.5908415337403615,2.839545807450387,
5016,5016,0,0,0,4,1,bfloat16,cuda,0.5913948655128479,2.7228108965802607,
5016,5120,1,104,0,4,1,bfloat16,cuda,0.5899735073248545,2.843723623468067,
5024,5024,0,0,0,4,1,bfloat16,cuda,0.5910962700843811,2.7328828580992335,
5024,5120,1,96,0,4,1,bfloat16,cuda,0.5891191720962524,2.847847565425842,
5032,5032,0,0,0,4,1,bfloat16,cuda,0.5958162625630696,2.7198746288474434,
5032,5120,1,88,0,4,1,bfloat16,cuda,0.5927325367927552,2.8304867640269316,
5040,5040,0,0,0,4,1,bfloat16,cuda,0.59792893131574,2.7188890098069836,
5040,5120,1,80,0,4,1,bfloat16,cuda,0.5886668662230173,2.8500357269376067,
5048,5048,0,0,0,4,1,bfloat16,cuda,0.6077337662378947,2.6835228624792324,
5048,5120,1,72,0,4,1,bfloat16,cuda,0.5872841695944468,2.856745825719366,
5056,5056,0,0,0,4,1,bfloat16,cuda,0.5957902689774831,2.746001049677821,
5056,5120,1,64,0,4,1,bfloat16,cuda,0.5905251959959666,2.8410669203883705,
5064,5064,0,0,0,4,1,bfloat16,cuda,0.6088853975137075,2.69545328349421,
5064,5120,1,56,0,4,1,bfloat16,cuda,0.5914695680141449,2.8365307206471146,
5072,5072,0,0,0,4,1,bfloat16,cuda,0.6007376650969187,2.7406501567275283,
5072,5120,1,48,0,4,1,bfloat16,cuda,0.5951302667458852,2.819082970143024,
5080,5080,0,0,0,4,1,bfloat16,cuda,0.6018423636754354,2.7442561369619507,
5080,5120,1,40,0,4,1,bfloat16,cuda,0.5896222313245137,2.845417813082124,
5088,5088,0,0,0,4,1,bfloat16,cuda,0.5997847000757853,2.7623505831186663,
5088,5120,1,32,0,4,1,bfloat16,cuda,0.593545933564504,2.826607858172905,
5096,5096,0,0,0,4,1,bfloat16,cuda,0.6084534009297689,2.731564687550889,
5096,5120,1,24,0,4,1,bfloat16,cuda,0.595507933696111,2.8172951275173856,
5104,5104,0,0,0,4,1,bfloat16,cuda,0.6029590010643006,2.765117066097503,
5104,5120,1,16,0,4,1,bfloat16,cuda,0.5906701664129893,2.8403696265691494,
5112,5112,0,0,0,4,1,bfloat16,cuda,0.6186748345692953,2.7033309301554787,
5112,5120,1,8,0,4,1,bfloat16,cuda,0.5972206691900889,2.8092155656220252,
5120,5120,0,0,1,4,1,bfloat16,cuda,0.5922111670176188,2.8329786627446127,
5120,5120,1,0,1,4,1,bfloat16,cuda,0.5891932328542073,2.8474895950054857,
